gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
FGF19,True,0.04867764363385711,1.987802531476689,1.1143872,2,True
FGFR1,True,0.7739760918926901,1.9809773785180638,1.1219395,2,True
FGFR2,True,0.38351560831441345,1.9594972953149266,1.2893502,2,True
FHL2,True,0.17099825656707865,1.9803581106727217,1.087764,2,True
FILIP1L,True,0.12406787922012447,2.0569138898035924,1.3447833,2,True
FIZ1,True,0.3470547326857551,1.9347291350323514,1.1368742,2,True
FLJ42393,True,0.0020826204530180483,2.105174443280127,1.5048321,2,True
FLRT2,True,1.146641520963519,2.246265558226324,1.5254409,2,True
FLRT3,True,1.2694240679087403,2.332049840186335,1.9197854,2,True
FN1,True,2.1842106145651625,3.5876680901245397,2.8962972,2,True
FN3KRP,True,0.26928196505994384,1.9677183961380555,1.0463581,2,True
FOS,True,0.5753205776509576,2.3480208804322094,3.7930176,2,True
FOSB,True,0.05111955811108565,1.9484656989355997,0.9785403,2,True
FOXA1,True,0.8055426664320777,1.9963430682953378,0.9329125,2,True
FOXB1,True,0.014171533953217925,2.195871401890993,1.8235376,2,True
FOXJ1,True,1.3129581880816406,2.5048834097932486,2.6158805,2,True
FOXN2,True,0.24679881852524688,1.9902251782138072,1.1225083,2,True
FOXQ1,True,0.024233573751357214,2.1435308584373898,1.6634693,2,True
FRAS1,True,0.4419137213047382,2.055197722922345,1.7732105,2,True
FREM1,True,0.10044326124940728,2.0606368946433604,1.3784964,2,True
FRMD6,True,0.15811641195055645,1.928372263922856,0.91328037,2,True
FRY,True,0.41569526545743407,1.9195152488474214,1.0230021,2,True
FRZB,True,0.6638540359952309,2.579377863581329,5.034954,2,True
FST,True,0.05410105789818483,2.1214294161986533,1.5669631,2,True
FSTL5,True,0.7026346867234823,2.0182217215692315,1.3589694,2,True
FXYD2,True,0.5202457471290394,2.900102056477026,7.8421283,2,True
FXYD3,True,0.16598256222153554,2.035431853847587,1.2806246,2,True
FZD2,True,0.256098424073757,1.9303180467149577,1.000487,2,True
FZD5,True,0.8875082949211383,2.5085633914968426,3.8016658,2,True
FZD7,True,0.5356699213311883,2.2834810372834307,3.347157,2,True
G6PC2,True,0.07824937499106721,2.3652639762759877,2.4084222,2,True
GABBR2,True,0.6754551474076869,2.14289513875925,2.180342,2,True
GABRG3,True,0.09538666090435438,2.0973215130860834,1.4841689,2,True
GAD2,True,0.7372041657518761,1.9678920146074108,1.0353765,2,True
GADD45A,True,1.1515848076960857,2.6219830009337377,3.1976774,2,True
GADD45G,True,0.6419121665090095,2.238203605949743,2.7957995,2,True
GAL,True,1.7860778039465721,3.7238996741938513,3.7224998,2,True
GALR1,True,0.08905904906616283,1.9515832380148352,0.98838514,2,True
GAP43,True,0.4122910172213634,2.675689644638128,6.2610073,2,True
GAST,True,0.06810334876987136,2.082989447440243,1.4490665,2,True
GATM,True,0.6855059675292108,2.638304810852563,5.415582,2,True
GBE1,True,0.46348361116465436,2.000705442268851,1.5817382,2,True
GC,True,0.265471320465815,2.287211922699029,2.845729,2,True
GCA,True,1.7865296302156701,2.636875080384985,1.2663784,2,True
GCG,True,1.9566257460256518,5.302325009035746,6.135677,2,True
GCNT4,True,0.057325541159016793,2.055206897334149,1.330792,2,True
GDF15,True,0.19573253326297163,2.560802353086131,3.060203,2,True
GDF6,True,0.14456666553132314,2.194288784339009,1.8224155,2,True
GFI1,True,0.02920689829964792,2.120828400139822,1.569815,2,True
GFRA1,True,0.5245325963358984,1.9458267623898755,1.0618502,2,True
GFRA3,True,0.39566601168973303,2.334976762607048,3.912746,2,True
GGT5,True,0.0924674255177757,1.9345959249951192,0.93365127,2,True
GHRHR,True,0.007086792607927602,2.1179937874461254,1.5799772,2,True
GHRL,True,0.7429932911850696,2.2916550188386857,3.164214,2,True
GIP,True,0.0458691580291522,1.9738868462901094,1.067003,2,True
GIT2,True,0.359292614589069,2.005754287049315,1.6163071,2,True
GJA3,True,0.0010293011943400786,2.227248746610912,1.9269303,2,True
GJA5,True,0.0035743935446259554,2.2858527891784535,2.1151521,2,True
GMPR,True,0.08835630592274671,2.277583527167822,2.0911396,2,True
GNAS,True,2.798295190623087,2.826040675515938,1.0632406,2,True
GNG13,True,0.0022635516685880186,1.942784598015082,0.96154517,2,True
GNG2,True,1.0842043418229368,2.084992442573129,0.96427655,2,True
GNG7,True,0.13384455665158235,2.131893056720807,1.6075097,2,True
GNS,True,1.2637857942684758,2.1810612813311634,1.2353878,2,True
GOLM1,True,1.0194186231322697,2.305835655481678,2.2072458,2,True
GPC3,True,0.5711612420364911,2.276299320077691,3.2889042,2,True
GPC4,True,0.3213138677449322,1.989521358308725,1.4940689,2,True
GPR160,True,0.5839201411186549,2.030818018137143,1.4402503,2,True
GPRC5B,True,0.2811655474561003,1.9941950748615997,1.2887769,2,True
GRM4,True,0.20212527582388556,2.069589964655151,1.3982546,2,True
GRM5,True,0.003332873321380738,2.260283991624413,2.0802271,2,True
GRP,True,0.013084499877467964,2.1727642149002007,1.7330492,2,True
